
Camera FPS set to: 30
Camera resolution set to: 640x480

13:50:54.466: Frames in the last second: 19, Frame loss: 0, Total frame: 219
13:50:54.483: 47772ms, Total frame: 219
13:50:54.536: 52187ms, Total frame: 220
13:50:54.611: 75517ms, Total frame: 221
13:50:54.637: 25260ms, Total frame: 222
13:50:54.656: 19080ms, Total frame: 223
13:50:54.678: 22025ms, Total frame: 224
13:50:54.712: 33489ms, Total frame: 225
13:50:54.766: 54521ms, Total frame: 226
13:50:54.782: 13901ms, Total frame: 227
