
Camera FPS set to: 30
Camera resolution set to: 800x448

11:10:47.945: Frames in the last second: 11, Frame loss: 0, Total frame: 212
11:10:47.987: 90832ms, Total frame: 212
11:10:48.045: 58165ms, Total frame: 213
11:10:48.185: 139677ms, Total frame: 214
11:10:48.237: 48003ms, Total frame: 215
11:10:48.336: 97757ms, Total frame: 216
11:10:48.368: 27851ms, Total frame: 217
11:10:48.491: 116654ms, Total frame: 218
11:10:48.520: 29115ms, Total frame: 219
11:10:48.610: 89355ms, Total frame: 220
11:10:48.745: 132348ms, Total frame: 221
11:10:48.818: 73444ms, Total frame: 222
11:10:48.926: 107763ms, Total frame: 223
11:10:49.013: Frames in the last second: 12, Frame loss: 0, Total frame: 224
11:10:49.042: 112816ms, Total frame: 224
11:10:49.090: 48342ms, Total frame: 225
11:10:49.191: 100487ms, Total frame: 226
11:10:49.307: 115936ms, Total frame: 227
11:10:49.414: 107288ms, Total frame: 228
11:10:49.492: 77170ms, Total frame: 229
11:10:49.603: 100520ms, Total frame: 230
11:10:49.690: 85016ms, Total frame: 231
11:10:49.742: 51761ms, Total frame: 232
11:10:49.812: 69673ms, Total frame: 233
11:10:49.871: 58804ms, Total frame: 234
11:10:49.965: 93355ms, Total frame: 235
11:10:50.135: Frames in the last second: 12, Frame loss: 0, Total frame: 236
11:10:50.148: 178134ms, Total frame: 236
11:10:50.175: 26681ms, Total frame: 237
11:10:50.211: 36354ms, Total frame: 238
11:10:50.307: 95870ms, Total frame: 239
11:10:50.431: 90001ms, Total frame: 240
11:10:50.469: 31883ms, Total frame: 241
11:10:50.591: 122259ms, Total frame: 242
11:10:50.644: 52704ms, Total frame: 243
11:10:50.714: 65882ms, Total frame: 244
11:10:50.795: 81133ms, Total frame: 245
11:10:50.893: 97926ms, Total frame: 246
11:10:50.955: 62194ms, Total frame: 247
11:10:51.054: 60698ms, Total frame: 248
11:10:51.146: 61149ms, Total frame: 249
11:10:51.187: Frames in the last second: 14, Frame loss: 0, Total frame: 250
11:10:51.202: 53626ms, Total frame: 250
11:10:51.267: 64893ms, Total frame: 251
11:10:51.375: 105630ms, Total frame: 252
11:10:51.620: 239849ms, Total frame: 253
11:10:51.755: 134559ms, Total frame: 254
11:10:51.853: 94913ms, Total frame: 255
11:10:51.928: 74559ms, Total frame: 256
11:10:51.989: 61736ms, Total frame: 257
11:10:52.047: 57558ms, Total frame: 258
11:10:52.141: 93881ms, Total frame: 259
11:10:52.238: Frames in the last second: 10, Frame loss: 0, Total frame: 260
11:10:52.285: 143966ms, Total frame: 260
11:10:52.446: 160697ms, Total frame: 261
11:10:52.556: 107292ms, Total frame: 262
11:10:52.596: 34360ms, Total frame: 263
11:10:52.653: 56878ms, Total frame: 264
11:10:52.705: 50965ms, Total frame: 265
11:10:52.824: 119331ms, Total frame: 266
11:10:52.884: 57521ms, Total frame: 267
11:10:53.026: 141941ms, Total frame: 268
11:10:53.118: 91897ms, Total frame: 269
11:10:53.174: 55805ms, Total frame: 270
11:10:53.237: 22897ms, Total frame: 271
11:10:53.260: Frames in the last second: 12, Frame loss: 0, Total frame: 272
11:10:53.285: 48316ms, Total frame: 272
11:10:53.427: 141239ms, Total frame: 273
11:10:53.528: 78790ms, Total frame: 274
11:10:53.559: 30747ms, Total frame: 275
11:10:53.601: 41225ms, Total frame: 276
11:10:53.721: 120121ms, Total frame: 277
11:10:53.801: 80228ms, Total frame: 278
11:10:53.899: 95781ms, Total frame: 279
11:10:54.005: 105896ms, Total frame: 280
11:10:54.058: 50437ms, Total frame: 281
11:10:54.175: 116562ms, Total frame: 282
11:10:54.213: Exit key is pressed. Stopping the video
